Обработка видео: 1.mp4, 2025-10-21 17:33:08.911871
Всего кадров: 656, Кадров с QR-кодом: 642
Кадр 68: Данные: https://github.com/Cube-module, Координаты: [(640, 313), (1132, 306), (1122, 773), (661, 781)], Уверенность: 0.00
Кадр 69: Данные: https://github.com/Cube-module, Координаты: [(628, 315), (1118, 309), (1117, 775), (649, 784)], Уверенность: 0.00
Кадр 70: Данные: https://github.com/Cube-module, Координаты: [(614, 315), (1109, 312), (1101, 779), (640, 787)], Уверенность: 0.00
Кадр 71: Данные: https://github.com/Cube-module, Координаты: [(604, 322), (1097, 314), (1091, 789), (628, 789)], Уверенность: 0.00
Кадр 72: Данные: https://github.com/Cube-module, Координаты: [(594, 326), (1085, 320), (1084, 786), (616, 794)], Уверенность: 0.00
Кадр 73: Данные: https://github.com/Cube-module, Координаты: [(583, 328), (1077, 323), (1072, 791), (606, 799)], Уверенность: 0.00
Кадр 74: Данные: https://github.com/Cube-module, Координаты: [(572, 330), (1066, 327), (1064, 795), (596, 803)], Уверенность: 0.00
Кадр 75: Данные: https://github.com/Cube-module, Координаты: [(563, 334), (1057, 330), (1055, 798), (587, 806)], Уверенность: 0.00
Кадр 76: Данные: https://github.com/Cube-module, Координаты: [(553, 339), (1048, 333), (1046, 801), (578, 809)], Уверенность: 0.00
Кадр 77: Данные: https://github.com/Cube-module, Координаты: [(545, 341), (1040, 336), (1037, 804), (569, 812)], Уверенность: 0.00
Кадр 78: Данные: https://github.com/Cube-module, Координаты: [(536, 344), (1031, 339), (1029, 807), (561, 815)], Уверенность: 0.00
Кадр 79: Данные: https://github.com/Cube-module, Координаты: [(527, 345), (1024, 342), (1022, 809), (554, 818)], Уверенность: 0.00
Кадр 80: Данные: https://github.com/Cube-module, Координаты: [(519, 347), (1015, 344), (1014, 811), (547, 820)], Уверенность: 0.00
Кадр 81: Данные: https://github.com/Cube-module, Координаты: [(511, 348), (1007, 345), (1009, 813), (539, 821)], Уверенность: 0.00
Кадр 82: Данные: https://github.com/Cube-module, Координаты: [(504, 348), (1002, 344), (1002, 813), (530, 822)], Уверенность: 0.00
Кадр 83: Данные: https://github.com/Cube-module, Координаты: [(496, 347), (995, 343), (995, 813), (523, 822)], Уверенность: 0.00
Кадр 84: Данные: https://github.com/Cube-module, Координаты: [(487, 345), (987, 343), (989, 813), (517, 822)], Уверенность: 0.00
Кадр 85: Данные: https://github.com/Cube-module, Координаты: [(480, 345), (982, 340), (985, 813), (508, 821)], Уверенность: 0.00
Кадр 86: Данные: https://github.com/Cube-module, Координаты: [(473, 342), (976, 339), (976, 812), (501, 821)], Уверенность: 0.00
Кадр 87: Данные: https://github.com/Cube-module, Координаты: [(465, 339), (971, 337), (973, 811), (495, 819)], Уверенность: 0.00
Кадр 88: Данные: https://github.com/Cube-module, Координаты: [(458, 336), (967, 333), (970, 810), (489, 818)], Уверенность: 0.00
Кадр 89: Данные: https://github.com/Cube-module, Координаты: [(452, 333), (961, 330), (969, 813), (483, 817)], Уверенность: 0.00
Кадр 90: Данные: https://github.com/Cube-module, Координаты: [(447, 331), (959, 328), (962, 809), (476, 817)], Уверенность: 0.00
Кадр 91: Данные: https://github.com/Cube-module, Координаты: [(441, 329), (956, 326), (959, 812), (471, 817)], Уверенность: 0.00
Кадр 92: Данные: https://github.com/Cube-module, Координаты: [(437, 326), (952, 323), (959, 807), (470, 816)], Уверенность: 0.00
